file_id,file_name,day,hour,program,length
1,27-10-2019_19h30_tf1.wav,27/10/2019,19h30,tf1,3149
2,27-10-2019_22h10_m6.wav,27/10/2019,22h10,m6,1113
3,27-10-2019_22h30_w9.wav,27/10/2019,22h30,w9,8175
4,28-10-2019_7h41_w9.wav,28/10/2019,7h41,m6,2136
5,28-10-2019_11h05_tf1.wav,28/10/2019,11h05,tf1,6036
6,28-10-2019_12h53_w9.wav,28/10/2019,12h53,w9,7747
7,28-10-2019_15h57_m6.wav,28/10/2019,15h57,m6,8307
8,28-10-2019_18h19_w9.wav,28/10/2019,18h19,w9,1209
9,17-11-2019_23h09_tf1.wav,17/11/2019,23h09,tf1,18462
10,18-11-2019_7h47_tf1.wav,18/11/2019,7h47,tf1,20317
11,18-11-2019_16h59_m6.wav,18/11/2019,16h59,m6,2731
12,18-11-2019_18h15_tf1.wav,18/11/2019,18h15,tf1,1818
13,18-11-2019_18h47_tf1.wav,18/11/2019,18h47,tf1,5681
14,18-11-2019_20h30_tf1.wav,18/11/2019,20h30,tf1,5542
